Date,Station,Value,lat,lng
2023-04-28,018 SCHÖNEBERG,25,52.48579,13.34885
2023-04-29,018 SCHÖNEBERG,12,52.48579,13.34885
2023-04-30,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-01,018 SCHÖNEBERG,17,52.48579,13.34885
2023-05-02,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-03,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-04,018 SCHÖNEBERG,13,52.48579,13.34885
2023-05-05,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-06,018 SCHÖNEBERG,13,52.48579,13.34885
2023-05-07,018 SCHÖNEBERG,6,52.48579,13.34885
2023-05-08,018 SCHÖNEBERG,11,52.48579,13.34885
2023-05-09,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-10,018 SCHÖNEBERG,13,52.48579,13.34885
2023-05-11,018 SCHÖNEBERG,16,52.48579,13.34885
2023-05-12,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-13,018 SCHÖNEBERG,13,52.48579,13.34885
2023-05-14,018 SCHÖNEBERG,18,52.48579,13.34885
2023-05-15,018 SCHÖNEBERG,25,52.48579,13.34885
2023-05-16,018 SCHÖNEBERG,7,52.48579,13.34885
2023-05-17,018 SCHÖNEBERG,7,52.48579,13.34885
2023-05-18,018 SCHÖNEBERG,7,52.48579,13.34885
2023-05-19,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-20,018 SCHÖNEBERG,9,52.48579,13.34885
2023-05-21,018 SCHÖNEBERG,8,52.48579,13.34885
2023-05-22,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-23,018 SCHÖNEBERG,12,52.48579,13.34885
2023-05-24,018 SCHÖNEBERG,7,52.48579,13.34885
2023-05-25,018 SCHÖNEBERG,12,52.48579,13.34885
2023-05-26,018 SCHÖNEBERG,8,52.48579,13.34885
2023-05-27,018 SCHÖNEBERG,8,52.48579,13.34885
2023-05-28,018 SCHÖNEBERG,11,52.48579,13.34885
2023-05-29,018 SCHÖNEBERG,6,52.48579,13.34885
2023-05-30,018 SCHÖNEBERG,10,52.48579,13.34885
2023-05-31,018 SCHÖNEBERG,13,52.48579,13.34885
2023-06-01,018 SCHÖNEBERG,7,52.48579,13.34885
2023-06-02,018 SCHÖNEBERG,7,52.48579,13.34885
2023-06-03,018 SCHÖNEBERG,8,52.48579,13.34885
2023-06-04,018 SCHÖNEBERG,10,52.48579,13.34885
2023-06-05,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-06,018 SCHÖNEBERG,11,52.48579,13.34885
2023-06-07,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-08,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-09,018 SCHÖNEBERG,6,52.48579,13.34885
2023-06-10,018 SCHÖNEBERG,8,52.48579,13.34885
2023-06-11,018 SCHÖNEBERG,5,52.48579,13.34885
2023-06-12,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-13,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-14,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-15,018 SCHÖNEBERG,8,52.48579,13.34885
2023-06-16,018 SCHÖNEBERG,8,52.48579,13.34885
2023-06-17,018 SCHÖNEBERG,12,52.48579,13.34885
2023-06-18,018 SCHÖNEBERG,14,52.48579,13.34885
2023-06-19,018 SCHÖNEBERG,19,52.48579,13.34885
2023-06-20,018 SCHÖNEBERG,22,52.48579,13.34885
2023-06-21,018 SCHÖNEBERG,12,52.48579,13.34885
2023-06-22,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-23,018 SCHÖNEBERG,12,52.48579,13.34885
2023-06-24,018 SCHÖNEBERG,9,52.48579,13.34885
2023-06-25,018 SCHÖNEBERG,17,52.48579,13.34885
2023-06-26,018 SCHÖNEBERG,15,52.48579,13.34885
2023-06-27,018 SCHÖNEBERG,5,52.48579,13.34885
2023-06-28,018 SCHÖNEBERG,8,52.48579,13.34885
2023-06-29,018 SCHÖNEBERG,14,52.48579,13.34885
2023-06-30,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-01,018 SCHÖNEBERG,7,52.48579,13.34885
2023-07-02,018 SCHÖNEBERG,3,52.48579,13.34885
2023-07-03,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-04,018 SCHÖNEBERG,8,52.48579,13.34885
2023-07-05,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-06,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-07,018 SCHÖNEBERG,22,52.48579,13.34885
2023-07-08,018 SCHÖNEBERG,11,52.48579,13.34885
2023-07-09,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-10,018 SCHÖNEBERG,13,52.48579,13.34885
